experiment,n,mean_f1,std_f1,mean_t,std_t
Baseline,3,0.9604355716878402,0.02495255633117811,0.6033333333333334,0.2853652630109932
No pretrain,3,0.5916355075474311,0.034016634559114745,0.5533333333333333,0.07094598884597587
Freeze backbone,3,0.6728018931795651,0.03480329002078063,0.51,0.04582575694955844
Abs diff only,3,0.9174310253651599,0.01391410101955122,0.4966666666666666,0.22810816147900834
Mul only,3,0.9370437588223431,0.02681152235124218,0.6433333333333333,0.08020806277010639
No augmentation,3,0.948923863330643,0.015477457550696048,0.49666666666666676,0.19857828011475306
No pos_weight,3,0.9606180516299228,0.008485645561860017,0.45,0.3026549190084311
Fixed threshold 0.5,3,0.9232974910394266,0.017382588749795206,0.5,0.0
