experiment,n,mean_f1,std_f1,mean_t,std_t
Baseline,3,0.9783149549618417,0.008111094250832382,0.4666666666666666,0.11590225767142472
No pretrain,3,0.5626555529009937,0.01038557870679681,0.45,0.0721110255092798
Freeze backbone,3,0.6270924126532367,0.01687773461915016,0.49666666666666676,0.05686240703077327
Abs diff only,3,0.9611602588087057,0.011239048640051109,0.6,0.06999999999999999
Mul only,3,0.9732363783265162,0.0037241618073003183,0.35000000000000003,0.043588989435406705
No augmentation,3,0.9916990770302432,0.001809770391608503,0.43,0.07549834435270751
No pos_weight,3,0.9896735336328456,0.0017489288082615717,0.3,0.11789826122551597
Fixed threshold 0.5,3,0.9739737448369467,0.009052013374537402,0.5,0.0
